season,episode,name,emoji,percent
5,7,Cersei Lannister,👏 🙌 😳 😈 😱,23.9
5,7,Tyrion Lannister,💪 👏 😱,10.8
5,7,Sansa Stark,😭 😢 😔 😩 🙈,8.1
5,8,White Walkers,😱 💀 😳 😨 😭,24.1
5,8,Jon Snow,😱 💀 🔪 😧 😭,22.5
5,8,Tyrion Lannister,👌,14.9
5,9,Stannis Baratheon,😭 😡 😱 😢 🔥,30.1
5,9,Daenerys Targaryen,🐲 🙌 🐉 🔥 😱,20
5,9,Tyrion Lannister,👌,11
5,10,Jon Snow,😭 😢 💔 😱 😡,29.1
5,10,Tyrion Lannister,😰 😢 😭,11.1
5,10,Melisandre,🙏 😭 😢 👌 🔥,7.5
6,1,Melisandre,😱 😳 👵 😯 😦,19.2
6,1,Jon Snow,😭 🙏 💀 🍕 😢,18.9
6,1,Daenerys Targaryen,🔥 🐲 👑 🐉 😉,12.7
6,2,Jon Snow,😱 🙌 😭 🔥 👏,44.3
6,2,Ramsay Bolton,😱 😳 😡 😭 😩,11.9
6,2,Tyrion Lannister,🐲 🐉 🔥 🍷 👌,10
6,3,Jon Snow,😱 🙌 👏 😭 👌,29.9
6,3,Olly,🖕 🎉 👋 😌 🙌,7.5
6,3,Rickon Stark,😢 😭 😱 😔 💔,6.2
6,4,Daenerys Targaryen,🔥 🙌 👑 👏 🐉,30.4
6,4,Jon Snow,😭 🔥 👌 🦄 🌹,13.8
6,4,Sansa Stark,😭 🙌 🔥 👏 😈,10.6
6,5,Hodor,😭 😢 💔 😱 😔,44.8
6,5,Bran Stark,😭 💛 😢 😱 😡,7.6
6,5,Tyrion Lannister,🍷 💔 😭 🍻,6.5
6,6,Daenerys Targaryen,🔥 🐉 🐲 🙌 👏,19.5
6,6,Samwell Tarly,😭 👏 😒 😢 😡,9.3
6,6,Arya Stark,😬 😱 😭 🙌 💪,8
6,7,Arya Stark,😭 😱 😢 😰 😩,16.1
6,7,Lyanna Mormont,🙌 💁 👏 🐻 👑,15.1
